Player_Name,Country,Debut_Year,Matches_Played,Total_Innings,Notouts,Runs,Highest_Score,Average,Total_Runs,Strike_Rate,Century,Fifty,Ducks,Fours,Sixs,Batting_Style
Sr Tendulkar,India,1989,463,452,41,18426,200,44.83,21368,86.23,49,96,20,2016,195,Right
V Kohli,India,2008,254,245,39,12169,183,59.07,13061,93.17,43,62,13,1140,125,Right
Rt Ponting,Australia,1995,375,365,39,13704,164,42.03,17046,80.39,30,82,20,1231,162,Right
Rg Sharma,India,2007,227,220,32,9205,264,48.96,10354,88.9,29,43,13,832,244,Right
St Jayasuriya,Srilanka,1989,445,433,18,13430,189,32.36,14725,91.2,28,68,34,1500,270,Left
Hm Amla,South Africa,2008,181,178,14,8113,159,49.46,9178,88.39,27,39,4,822,53,Right
Ab De Villiers,South Africa,2005,228,218,39,9577,176,53.5,9473,101.09,25,53,7,840,204,Right
Ch Gayle,West Indies,1999,301,294,17,10480,215,37.83,12019,87.19,25,54,25,1128,331,Left
Kc Sangakkara,Srilanka,2000,404,380,41,14234,169,41.98,18048,78.86,25,93,15,1385,88,Left
Sc Ganguly,India,1992,311,300,23,11363,183,41.02,15416,73.7,22,72,16,1122,190,Left
Tm Dilshan,Srilanka,1999,330,303,41,10290,161,39.27,11933,86.23,22,47,11,1111,55,Right
Lrpl Taylor,New Zealand,2006,233,217,39,8581,181,48.2,10287,83.41,21,51,9,712,146,Right
Hh Gibbs,South Africa,1996,248,240,16,8094,175,36.13,9721,83.26,21,37,22,930,128,Right
Saeed Anwar,Pakistan,1989,247,244,19,8824,194,39.21,10938,80.67,20,43,15,938,97,Left
Bc Lara,West Indies,1990,299,289,32,10405,169,40.48,13086,79.51,19,63,16,1042,133,Left
Dpmd Jayawardene,Srilanka,1998,448,418,39,12650,144,33.37,16020,78.96,19,77,28,1119,76,Right
Da Warner,Australia,2009,128,126,6,5455,179,45.45,5710,95.53,18,23,2,571,85,Left
Me Waugh,Australia,1988,244,236,20,8500,173,39.35,11053,76.9,18,50,16,651,57,Right
Aj Finch,Australia,2013,132,128,3,5232,153,41.85,5917,88.42,17,29,11,518,126,Right
S Dhawan,India,2010,145,142,8,6105,143,45.55,6509,93.79,17,33,5,763,72,Left
Dl Haynes,West Indies,1978,238,237,28,8648,152,41.37,13707,63.09,17,57,13,768,53,Right
Jh Kallis,South Africa,1996,328,314,53,11579,139,44.36,15885,72.89,17,86,17,911,137,Right
